outcomes,bet_price,title,date
Donald Trump,200.0,US Presidential Election 2020 - Odds To Win,2019-02-19 16:32:00.415595
Kamala Harris,500.0,US Presidential Election 2020 - Odds To Win,2019-02-19 16:32:00.415595
Beto O'Rourke,800.0,US Presidential Election 2020 - Odds To Win,2019-02-19 16:32:00.415595
Joe Biden,800.0,US Presidential Election 2020 - Odds To Win,2019-02-19 16:32:00.415595
Bernie Sanders,1000.0,US Presidential Election 2020 - Odds To Win,2019-02-19 16:32:00.415595
Amy Klobuchar,1500.0,US Presidential Election 2020 - Odds To Win,2019-02-19 16:32:00.415595
Elizabeth Warren,2200.0,US Presidential Election 2020 - Odds To Win,2019-02-19 16:32:00.415595
Michael Bloomberg,2500.0,US Presidential Election 2020 - Odds To Win,2019-02-19 16:32:00.415595
Tulsi Gabbard,2500.0,US Presidential Election 2020 - Odds To Win,2019-02-19 16:32:00.415595
Sherrod Brown,2800.0,US Presidential Election 2020 - Odds To Win,2019-02-19 16:32:00.415595
Kirsten Gillibrand,3000.0,US Presidential Election 2020 - Odds To Win,2019-02-19 16:32:00.415595
Mike Pence,3000.0,US Presidential Election 2020 - Odds To Win,2019-02-19 16:32:00.415595
Cory Booker,3500.0,US Presidential Election 2020 - Odds To Win,2019-02-19 16:32:00.415595
Michelle Obama,4500.0,US Presidential Election 2020 - Odds To Win,2019-02-19 16:32:00.415595
Nikki Haley,4500.0,US Presidential Election 2020 - Odds To Win,2019-02-19 16:32:00.415595
Dwayne 'The Rock' Johnson,5000.0,US Presidential Election 2020 - Odds To Win,2019-02-19 16:32:00.415595
Hillary Clinton,5000.0,US Presidential Election 2020 - Odds To Win,2019-02-19 16:32:00.415595
Oprah Winfrey,5000.0,US Presidential Election 2020 - Odds To Win,2019-02-19 16:32:00.415595
Howard Schultz,6000.0,US Presidential Election 2020 - Odds To Win,2019-02-19 16:32:00.415595
John Hickenlooper,6600.0,US Presidential Election 2020 - Odds To Win,2019-02-19 16:32:00.415595
John Kasich,6600.0,US Presidential Election 2020 - Odds To Win,2019-02-19 16:32:00.415595
Julian Castro,6600.0,US Presidential Election 2020 - Odds To Win,2019-02-19 16:32:00.415595
Michael Avenatti,6600.0,US Presidential Election 2020 - Odds To Win,2019-02-19 16:32:00.415595
Mitt Romney,7500.0,US Presidential Election 2020 - Odds To Win,2019-02-19 16:32:00.415595
Paul Ryan,7500.0,US Presidential Election 2020 - Odds To Win,2019-02-19 16:32:00.415595
Eric Garcetti,8000.0,US Presidential Election 2020 - Odds To Win,2019-02-19 16:32:00.415595
Joe Kennedy III,8000.0,US Presidential Election 2020 - Odds To Win,2019-02-19 16:32:00.415595
Marco Rubio,8000.0,US Presidential Election 2020 - Odds To Win,2019-02-19 16:32:00.415595
Orrin Hatch,8000.0,US Presidential Election 2020 - Odds To Win,2019-02-19 16:32:00.415595
Rahm Emanuel,8000.0,US Presidential Election 2020 - Odds To Win,2019-02-19 16:32:00.415595
Tom Wolf,8000.0,US Presidential Election 2020 - Odds To Win,2019-02-19 16:32:00.415595
Andrew Cuomo,10000.0,US Presidential Election 2020 - Odds To Win,2019-02-19 16:32:00.415595
Andrew Yang,10000.0,US Presidential Election 2020 - Odds To Win,2019-02-19 16:32:00.415595
Ben Shapiro,10000.0,US Presidential Election 2020 - Odds To Win,2019-02-19 16:32:00.415595
Bill Gates,10000.0,US Presidential Election 2020 - Odds To Win,2019-02-19 16:32:00.415595
George Clooney,10000.0,US Presidential Election 2020 - Odds To Win,2019-02-19 16:32:00.415595
Mark Cuban,10000.0,US Presidential Election 2020 - Odds To Win,2019-02-19 16:32:00.415595
Rand Paul,10000.0,US Presidential Election 2020 - Odds To Win,2019-02-19 16:32:00.415595
Ted Cruz,10000.0,US Presidential Election 2020 - Odds To Win,2019-02-19 16:32:00.415595
Bob Iger,12500.0,US Presidential Election 2020 - Odds To Win,2019-02-19 16:32:00.415595
Chris Murphy,12500.0,US Presidential Election 2020 - Odds To Win,2019-02-19 16:32:00.415595
Jeb Bush,12500.0,US Presidential Election 2020 - Odds To Win,2019-02-19 16:32:00.415595
Martin O'Malley,12500.0,US Presidential Election 2020 - Odds To Win,2019-02-19 16:32:00.415595
Mitch Landrieu,12500.0,US Presidential Election 2020 - Odds To Win,2019-02-19 16:32:00.415595
Tammy Duckworth,12500.0,US Presidential Election 2020 - Odds To Win,2019-02-19 16:32:00.415595
Terry McAuliffe,12500.0,US Presidential Election 2020 - Odds To Win,2019-02-19 16:32:00.415595
Tom Steyer,12500.0,US Presidential Election 2020 - Odds To Win,2019-02-19 16:32:00.415595
Ivanka Trump,15000.0,US Presidential Election 2020 - Odds To Win,2019-02-19 16:32:00.415595
Kanye West,15000.0,US Presidential Election 2020 - Odds To Win,2019-02-19 16:32:00.415595
Mark Zuckerberg,15000.0,US Presidential Election 2020 - Odds To Win,2019-02-19 16:32:00.415595
Tim Kaine,15000.0,US Presidential Election 2020 - Odds To Win,2019-02-19 16:32:00.415595
Trey Gowdy,15000.0,US Presidential Election 2020 - Odds To Win,2019-02-19 16:32:00.415595
Chelsea Clinton,20000.0,US Presidential Election 2020 - Odds To Win,2019-02-19 16:32:00.415595
Leonardo DiCaprio,20000.0,US Presidential Election 2020 - Odds To Win,2019-02-19 16:32:00.415595
Will Smith,20000.0,US Presidential Election 2020 - Odds To Win,2019-02-19 16:32:00.415595
Joe Rogan,25000.0,US Presidential Election 2020 - Odds To Win,2019-02-19 16:32:00.415595
Tom Brady,25000.0,US Presidential Election 2020 - Odds To Win,2019-02-19 16:32:00.415595
Donald Trump,200.0,US Presidential Election 2020 - Odds To Win,2019-02-19 18:14:04.461192
Kamala Harris,500.0,US Presidential Election 2020 - Odds To Win,2019-02-19 18:14:04.461192
Beto O'Rourke,800.0,US Presidential Election 2020 - Odds To Win,2019-02-19 18:14:04.461192
Joe Biden,800.0,US Presidential Election 2020 - Odds To Win,2019-02-19 18:14:04.461192
Bernie Sanders,1000.0,US Presidential Election 2020 - Odds To Win,2019-02-19 18:14:04.461192
Amy Klobuchar,1500.0,US Presidential Election 2020 - Odds To Win,2019-02-19 18:14:04.461192
Elizabeth Warren,2200.0,US Presidential Election 2020 - Odds To Win,2019-02-19 18:14:04.461192
Michael Bloomberg,2500.0,US Presidential Election 2020 - Odds To Win,2019-02-19 18:14:04.461192
Tulsi Gabbard,2500.0,US Presidential Election 2020 - Odds To Win,2019-02-19 18:14:04.461192
Sherrod Brown,2800.0,US Presidential Election 2020 - Odds To Win,2019-02-19 18:14:04.461192
Kirsten Gillibrand,3000.0,US Presidential Election 2020 - Odds To Win,2019-02-19 18:14:04.461192
Mike Pence,3000.0,US Presidential Election 2020 - Odds To Win,2019-02-19 18:14:04.461192
Cory Booker,3500.0,US Presidential Election 2020 - Odds To Win,2019-02-19 18:14:04.461192
Michelle Obama,4500.0,US Presidential Election 2020 - Odds To Win,2019-02-19 18:14:04.461192
Nikki Haley,4500.0,US Presidential Election 2020 - Odds To Win,2019-02-19 18:14:04.461192
Dwayne 'The Rock' Johnson,5000.0,US Presidential Election 2020 - Odds To Win,2019-02-19 18:14:04.461192
Hillary Clinton,5000.0,US Presidential Election 2020 - Odds To Win,2019-02-19 18:14:04.461192
Oprah Winfrey,5000.0,US Presidential Election 2020 - Odds To Win,2019-02-19 18:14:04.461192
Howard Schultz,6000.0,US Presidential Election 2020 - Odds To Win,2019-02-19 18:14:04.461192
John Hickenlooper,6600.0,US Presidential Election 2020 - Odds To Win,2019-02-19 18:14:04.461192
John Kasich,6600.0,US Presidential Election 2020 - Odds To Win,2019-02-19 18:14:04.461192
Julian Castro,6600.0,US Presidential Election 2020 - Odds To Win,2019-02-19 18:14:04.461192
Michael Avenatti,6600.0,US Presidential Election 2020 - Odds To Win,2019-02-19 18:14:04.461192
Mitt Romney,7500.0,US Presidential Election 2020 - Odds To Win,2019-02-19 18:14:04.461192
Paul Ryan,7500.0,US Presidential Election 2020 - Odds To Win,2019-02-19 18:14:04.461192
Eric Garcetti,8000.0,US Presidential Election 2020 - Odds To Win,2019-02-19 18:14:04.461192
Joe Kennedy III,8000.0,US Presidential Election 2020 - Odds To Win,2019-02-19 18:14:04.461192
Marco Rubio,8000.0,US Presidential Election 2020 - Odds To Win,2019-02-19 18:14:04.461192
Orrin Hatch,8000.0,US Presidential Election 2020 - Odds To Win,2019-02-19 18:14:04.461192
Rahm Emanuel,8000.0,US Presidential Election 2020 - Odds To Win,2019-02-19 18:14:04.461192
Tom Wolf,8000.0,US Presidential Election 2020 - Odds To Win,2019-02-19 18:14:04.461192
Andrew Cuomo,10000.0,US Presidential Election 2020 - Odds To Win,2019-02-19 18:14:04.461192
Andrew Yang,10000.0,US Presidential Election 2020 - Odds To Win,2019-02-19 18:14:04.461192
Ben Shapiro,10000.0,US Presidential Election 2020 - Odds To Win,2019-02-19 18:14:04.461192
Bill Gates,10000.0,US Presidential Election 2020 - Odds To Win,2019-02-19 18:14:04.461192
George Clooney,10000.0,US Presidential Election 2020 - Odds To Win,2019-02-19 18:14:04.461192
Mark Cuban,10000.0,US Presidential Election 2020 - Odds To Win,2019-02-19 18:14:04.461192
Rand Paul,10000.0,US Presidential Election 2020 - Odds To Win,2019-02-19 18:14:04.461192
Ted Cruz,10000.0,US Presidential Election 2020 - Odds To Win,2019-02-19 18:14:04.461192
Bob Iger,12500.0,US Presidential Election 2020 - Odds To Win,2019-02-19 18:14:04.461192
Chris Murphy,12500.0,US Presidential Election 2020 - Odds To Win,2019-02-19 18:14:04.461192
Jeb Bush,12500.0,US Presidential Election 2020 - Odds To Win,2019-02-19 18:14:04.461192
Martin O'Malley,12500.0,US Presidential Election 2020 - Odds To Win,2019-02-19 18:14:04.461192
Mitch Landrieu,12500.0,US Presidential Election 2020 - Odds To Win,2019-02-19 18:14:04.461192
Tammy Duckworth,12500.0,US Presidential Election 2020 - Odds To Win,2019-02-19 18:14:04.461192
Terry McAuliffe,12500.0,US Presidential Election 2020 - Odds To Win,2019-02-19 18:14:04.461192
Tom Steyer,12500.0,US Presidential Election 2020 - Odds To Win,2019-02-19 18:14:04.461192
Ivanka Trump,15000.0,US Presidential Election 2020 - Odds To Win,2019-02-19 18:14:04.461192
Kanye West,15000.0,US Presidential Election 2020 - Odds To Win,2019-02-19 18:14:04.461192
Mark Zuckerberg,15000.0,US Presidential Election 2020 - Odds To Win,2019-02-19 18:14:04.461192
Tim Kaine,15000.0,US Presidential Election 2020 - Odds To Win,2019-02-19 18:14:04.461192
Trey Gowdy,15000.0,US Presidential Election 2020 - Odds To Win,2019-02-19 18:14:04.461192
Chelsea Clinton,20000.0,US Presidential Election 2020 - Odds To Win,2019-02-19 18:14:04.461192
Leonardo DiCaprio,20000.0,US Presidential Election 2020 - Odds To Win,2019-02-19 18:14:04.461192
Will Smith,20000.0,US Presidential Election 2020 - Odds To Win,2019-02-19 18:14:04.461192
Joe Rogan,25000.0,US Presidential Election 2020 - Odds To Win,2019-02-19 18:14:04.461192
Tom Brady,25000.0,US Presidential Election 2020 - Odds To Win,2019-02-19 18:14:04.461192
Donald Trump,200.0,US Presidential Election 2020 - Odds To Win,2019-02-19 19:18:48.150372
Kamala Harris,500.0,US Presidential Election 2020 - Odds To Win,2019-02-19 19:18:48.150372
Beto O'Rourke,800.0,US Presidential Election 2020 - Odds To Win,2019-02-19 19:18:48.150372
Joe Biden,800.0,US Presidential Election 2020 - Odds To Win,2019-02-19 19:18:48.150372
Bernie Sanders,1000.0,US Presidential Election 2020 - Odds To Win,2019-02-19 19:18:48.150372
Amy Klobuchar,1500.0,US Presidential Election 2020 - Odds To Win,2019-02-19 19:18:48.150372
Elizabeth Warren,2200.0,US Presidential Election 2020 - Odds To Win,2019-02-19 19:18:48.150372
Michael Bloomberg,2500.0,US Presidential Election 2020 - Odds To Win,2019-02-19 19:18:48.150372
Tulsi Gabbard,2500.0,US Presidential Election 2020 - Odds To Win,2019-02-19 19:18:48.150372
Sherrod Brown,2800.0,US Presidential Election 2020 - Odds To Win,2019-02-19 19:18:48.150372
Kirsten Gillibrand,3000.0,US Presidential Election 2020 - Odds To Win,2019-02-19 19:18:48.150372
Mike Pence,3000.0,US Presidential Election 2020 - Odds To Win,2019-02-19 19:18:48.150372
Cory Booker,3500.0,US Presidential Election 2020 - Odds To Win,2019-02-19 19:18:48.150372
Michelle Obama,4500.0,US Presidential Election 2020 - Odds To Win,2019-02-19 19:18:48.150372
Nikki Haley,4500.0,US Presidential Election 2020 - Odds To Win,2019-02-19 19:18:48.150372
Dwayne 'The Rock' Johnson,5000.0,US Presidential Election 2020 - Odds To Win,2019-02-19 19:18:48.150372
Hillary Clinton,5000.0,US Presidential Election 2020 - Odds To Win,2019-02-19 19:18:48.150372
Oprah Winfrey,5000.0,US Presidential Election 2020 - Odds To Win,2019-02-19 19:18:48.150372
Howard Schultz,6000.0,US Presidential Election 2020 - Odds To Win,2019-02-19 19:18:48.150372
John Hickenlooper,6600.0,US Presidential Election 2020 - Odds To Win,2019-02-19 19:18:48.150372
John Kasich,6600.0,US Presidential Election 2020 - Odds To Win,2019-02-19 19:18:48.150372
Julian Castro,6600.0,US Presidential Election 2020 - Odds To Win,2019-02-19 19:18:48.150372
Michael Avenatti,6600.0,US Presidential Election 2020 - Odds To Win,2019-02-19 19:18:48.150372
Mitt Romney,7500.0,US Presidential Election 2020 - Odds To Win,2019-02-19 19:18:48.150372
Paul Ryan,7500.0,US Presidential Election 2020 - Odds To Win,2019-02-19 19:18:48.150372
Eric Garcetti,8000.0,US Presidential Election 2020 - Odds To Win,2019-02-19 19:18:48.150372
Joe Kennedy III,8000.0,US Presidential Election 2020 - Odds To Win,2019-02-19 19:18:48.150372
Marco Rubio,8000.0,US Presidential Election 2020 - Odds To Win,2019-02-19 19:18:48.150372
Orrin Hatch,8000.0,US Presidential Election 2020 - Odds To Win,2019-02-19 19:18:48.150372
Rahm Emanuel,8000.0,US Presidential Election 2020 - Odds To Win,2019-02-19 19:18:48.150372
Tom Wolf,8000.0,US Presidential Election 2020 - Odds To Win,2019-02-19 19:18:48.150372
Andrew Cuomo,10000.0,US Presidential Election 2020 - Odds To Win,2019-02-19 19:18:48.150372
Andrew Yang,10000.0,US Presidential Election 2020 - Odds To Win,2019-02-19 19:18:48.150372
Ben Shapiro,10000.0,US Presidential Election 2020 - Odds To Win,2019-02-19 19:18:48.150372
Bill Gates,10000.0,US Presidential Election 2020 - Odds To Win,2019-02-19 19:18:48.150372
George Clooney,10000.0,US Presidential Election 2020 - Odds To Win,2019-02-19 19:18:48.150372
Mark Cuban,10000.0,US Presidential Election 2020 - Odds To Win,2019-02-19 19:18:48.150372
Rand Paul,10000.0,US Presidential Election 2020 - Odds To Win,2019-02-19 19:18:48.150372
Ted Cruz,10000.0,US Presidential Election 2020 - Odds To Win,2019-02-19 19:18:48.150372
Bob Iger,12500.0,US Presidential Election 2020 - Odds To Win,2019-02-19 19:18:48.150372
Chris Murphy,12500.0,US Presidential Election 2020 - Odds To Win,2019-02-19 19:18:48.150372
Jeb Bush,12500.0,US Presidential Election 2020 - Odds To Win,2019-02-19 19:18:48.150372
Martin O'Malley,12500.0,US Presidential Election 2020 - Odds To Win,2019-02-19 19:18:48.150372
Mitch Landrieu,12500.0,US Presidential Election 2020 - Odds To Win,2019-02-19 19:18:48.150372
