team,primary_color
Atlanta Hawks,#e03a3e
Boston Celtics,#007a33
Brooklyn Nets,#000000
Charlotte Hornets,#1d1160
Chicago Bulls,#ce1141
Cleveland Cavaliers,#860038
Dallas Mavericks,#00538c
Denver Nuggets,#0e2240
Detroit Pistons,#c8102e
Golden State Warriors,#1d428a
Houston Rockets,#ce1141
Indiana Pacers,#002d62
Los Angeles Clippers,#c8102e
Los Angeles Lakers,#552583
Memphis Grizzlies,#5d76a9
Miami Heat,#98002e
Milwaukee Bucks,#00471b
Minnesota Timberwolves,#0c2340
New Orleans Pelicans,#0c2340
New York Knicks,#006bb6
Oklahoma City Thunder,#007ac1
Orlando Magic,#0077c0
Philadelphia 76ers,#006bb6
Phoenix Suns,#1d1160
Portland Trail Blazers,#e03a3e
Sacramento Kings,#5a2d81
San Antonio Spurs,#c4ced4
Toronto Raptors,#ce1141
Utah Jazz,#002b5c
Washington Wizards,#002b5c
Calgary Flames,#c8102e
Celtic F.C,#018749
Juventus FC,#000000
Arizona Diamondbacks,#a71930
A.C. Milan,#fb090b
Barcelona FC,#edbb00
Dallas Cowboys,#003594
West Ham United,#7a263a
LA Galaxy,#00245d
D.C. United,#ee1a39
Buffalo Sabres,#002654
Montreal Canadiens,#af1e2d
Minnesota Vikings,#4f2683
Montreal Impact,#2b63ad
Chicago Blackhawks,#cf0a2c
Oakland Athletics,#003831
Sporting Kansas City,#93b1d7
New Orleans Saints,#d3bc8d
New York Islanders,#00539b
FC Cincinnati,#fe5000
Carolina Panthers,#0085ca
New York Yankees,#003087
Fiorentina,#482e92
New Jersey Devils,#ce1126
Colorado Rockies,#33006f
Chicago White Sox,#27251f
Atlanta Falcons,#a71930
Green Bay Packers,#203731
Denver Broncos, #024
Pittsburgh Steelers, #000
Vanderbilt,#866d4b
Hawks,#e03a3e
Celtics,#007a33
Nets,#000000
Hornets,#1d1160
Bulls,#ce1141
Cavaliers,#860038
Mavericks,#00538c
Nuggets,#0e2240
Pistons,#c8102e
Warriors,#1d428a
Rockets,#ce1141
Pacers,#002d62
Clippers,#c8102e
Lakers,#552583
Grizzlies,#5d76a9
Heat,#98002e
Bucks,#00471b
Timberwolves,#0c2340
Pelicans,#0c2340
Knicks,#006bb6
Thunder,#007ac1
Magic,#0077c0
76ers,#006bb6
Suns,#1d1160
Trail Blazers,#e03a3e
Kings,#5a2d81
Spurs,#c4ced4
Raptors,#ce1141
Jazz,#002b5c
Wizards,#002b5c
Flames,#c8102e
F.C,#018749
FC,#000000
Diamondbacks,#a71930
Milan,#fb090b
FC,#edbb00
Cowboys,#003594
United,#7a263a
Galaxy,#00245d
United,#ee1a39
Sabres,#002654
Canadiens,#af1e2d
Vikings,#4f2683
Impact,#2b63ad
Blackhawks,#cf0a2c
Athletics,#003831
City,#93b1d7
Saints,#d3bc8d
Islanders,#00539b
Cincinnati,#fe5000
Panthers,#0085ca
Yankees,#003087
Devils,#ce1126
Rockies,#33006f
White Sox,#27251f
Falcons,#a71930
Packers,#203731
Broncos, #024
Steelers, #000
